Row Labels,Cell ID,NumSq,stimFreq,Average of P0,Average of P1,Average of P2,Average of P3,Average of P4,Average of P5,Average of P6,Average of P7,Average of P8,Average of P0,Average of P1,Average of P2,Average of P3,Average of P4,Average of P5,Average of P6,Average of P7,Average of P8,EI0,EI1,EI2,EI3,EI4,EI5,EI6,EI7,EI8
46,111,5,20,21.31837453,35.16684954,40.26619452,36.08550798,30.38292648,28.81685454,32.44574076,24.51936024,40.81205947,84.71095407,54.93988403,87.07443445,61.18983676,60.65689388,63.63239346,68.28869008,53.92273664,46.41471058,0.251660187,0.640096902,0.462434178,0.589730417,0.500898159,0.452864539,0.475126126,0.454712831,0.879291478
47,111,5,20,46.95943156,30.27591433,43.33545257,74.66809815,54.24142613,21.31141466,25.67420456,27.77025026,21.51900272,103.6910055,59.63414173,86.59035189,52.34615142,39.18687208,53.22223039,44.88005326,58.52190849,47.27863617,0.452878544,0.507694308,0.50046514,1.426429568,1.384173404,0.400423178,0.572062703,0.47452742,0.455152781
48,111,5,20,25.60940036,15.15996907,33.15064577,47.31806099,27.01740309,25.51694878,29.59522503,42.76178303,16.96823069,144.9535354,75.82773831,99.12464699,48.02400184,60.15211472,43.4046595,43.72186931,43.15510434,53.16373534,0.176673168,0.199926431,0.334433935,0.985300249,0.449151343,0.587885012,0.676897523,0.990885868,0.319169272
49,111,5,20,22.45104106,38.13349133,48.43705051,66.77054657,56.14301466,22.28468939,21.20925446,41.22666092,34.97379292,112.4040461,103.8307633,113.144067,59.88086131,77.06455262,53.337572,51.9644025,37.02277747,49.77667414,0.199735168,0.367265829,0.428100667,1.115056549,0.728519309,0.417804721,0.408149684,1.11354857,0.702614096
50,111,5,20,23.32183013,24.61910726,38.16714596,45.00793753,43.74351034,43.92865867,55.19675355,29.3629063,27.1532891,102.6658025,82.9237155,116.8502435,53.88070146,57.66855413,57.65536936,51.83850205,29.63533026,53.51355692,0.227162595,0.296888618,0.326633003,0.835325753,0.758533155,0.761917913,1.064782958,0.99080746,0.507409536
46,1491,5,20,66.11147839,56.94204376,60.20504024,46.84647386,45.74906796,40.66829384,36.56120168,46.47069197,31.96581138,866.7196982,659.3693359,682.5456354,595.0210812,479.2909679,284.4162926,324.5962958,246.2349303,254.4898972,0.076277808,0.086358344,0.088206615,0.07873078,0.095451555,0.142988622,0.112635918,0.188725019,0.125607388
47,1491,5,20,66.47760643,65.14351144,65.0035547,44.05683229,36.16700556,41.29551762,36.65028537,38.94111368,20.32086521,723.455658,739.9717574,698.5535351,516.918635,422.7687525,253.4259414,269.8349717,304.1615901,239.7178908,0.091888985,0.088035132,0.093054507,0.085229723,0.085547963,0.162949055,0.135824816,0.128027716,0.084769915
48,1491,5,20,66.27670146,68.62447351,70.73789164,69.75776648,50.7766551,38.38768297,39.65515918,33.90461376,26.80536127,824.2566666,625.5605737,724.9955277,547.7752726,521.7145316,441.8001851,385.8539955,284.5625118,316.8854212,0.080407844,0.109700765,0.097570108,0.127347418,0.097326511,0.086889241,0.102772447,0.119146452,0.084590074
49,1491,5,20,81.02938836,69.16763384,71.82277093,59.11296682,41.12476898,48.99044088,41.0081704,46.07994633,24.98111081,922.6840563,771.7627579,720.8759355,607.4607806,438.162617,413.333643,338.2974468,406.5464385,233.0745153,0.087819214,0.089622923,0.099632638,0.097311577,0.09385732,0.118525171,0.121219273,0.113344853,0.107180791
50,1491,5,20,64.45891294,61.56298293,75.97078119,51.70969327,53.73707409,49.13957543,46.19485309,37.48130285,47.93405529,950.7234674,791.7829764,632.5067933,604.7398294,369.5859972,357.3207587,307.4727721,358.220707,258.5128599,0.067799855,0.077752345,0.120110617,0.085507338,0.145398025,0.137522308,0.150240468,0.104631871,0.185422324
46,1522,5,20,69.6271349,66.9300685,47.60668249,26.9634941,24.49112868,32.72133601,23.7937964,16.67329294,26.30140703,321.669673,231.5718429,214.8697071,205.2130004,210.1381739,151.8200913,173.0283314,114.8379371,125.959573,0.216455391,0.289025072,0.221560699,0.131392719,0.116547737,0.215527047,0.137513875,0.145189764,0.208808322
47,1522,5,20,57.35801906,52.32693136,53.39939959,31.80892112,39.71154905,31.68708834,33.98522804,26.12125358,36.04191977,348.511332,229.72445,184.1480817,217.0743206,206.2248238,176.9500478,148.3267228,154.6586086,145.2890038,0.164580069,0.227781289,0.289980754,0.146534703,0.192564349,0.179073635,0.229124108,0.168896215,0.248070527
48,1522,5,20,66.60134288,56.96804223,48.93586812,37.14925056,32.72103902,38.49878526,24.07447822,25.8792961,21.34212348,351.1080188,213.6520425,231.5634356,198.004403,199.5140432,158.5742056,152.6176913,134.6231185,129.9843425,0.18968904,0.266639352,0.211328131,0.187618305,0.164003689,0.24278088,0.157743693,0.192235155,0.164189956
49,1522,5,20,62.67701536,54.12874176,60.85706887,35.2460282,36.30846145,29.20032007,28.00907878,34.02182414,37.9630273,368.1652202,201.9313482,214.3239061,188.5710079,234.7312421,169.4065887,122.228786,154.8432808,142.9416402,0.170241544,0.26805517,0.283949047,0.186911173,0.154680992,0.172368267,0.229152884,0.219717794,0.265584103
50,1522,5,20,73.32416879,55.21865502,46.26725457,34.12750643,42.82092074,28.32390521,25.07551984,29.69445211,20.32942046,338.9182764,195.5563429,251.6043138,207.3879808,156.4494948,181.5776732,131.8225583,134.5495605,181.3759651,0.216347639,0.282366985,0.183888956,0.164558748,0.273704436,0.155987819,0.190221766,0.220695274,0.112084423
46,1524,5,20,263.4478996,211.0308249,209.3896249,199.8339642,175.1607579,155.114399,140.0101473,149.9505625,130.7089047,713.4855276,521.6637635,506.4340762,464.7913497,484.6383913,391.2113278,413.8826272,347.5554232,374.6577685,0.369240706,0.404534184,0.413458799,0.429943381,0.361425675,0.396497719,0.338284668,0.431443599,0.348875469
47,1524,5,20,277.6401907,223.7543147,229.9251772,187.1964051,179.3808892,174.5372648,161.6341064,136.8707026,149.2978535,681.9070979,558.7391337,527.1800219,535.1331582,457.5991635,431.0401807,389.3355776,452.4742092,371.951313,0.407152516,0.400462937,0.436141674,0.349812756,0.392004408,0.404921102,0.415153702,0.302493932,0.401390849
48,1524,5,20,228.5931698,184.5315391,197.0765388,181.8107027,150.9526529,135.1401279,116.6715291,124.7254462,116.7285511,733.1827485,605.5629636,547.0671621,583.2979874,494.804145,408.3530415,478.079207,377.810048,437.7646311,0.311781981,0.304727254,0.360241946,0.311694377,0.305075563,0.330939442,0.244042258,0.330127393,0.26664683
49,1524,5,20,250.4292517,201.2661984,209.455192,183.6983517,148.2839241,155.3924159,141.051099,137.9089801,136.1039896,700.0105953,519.1782183,522.7213849,473.0075726,510.3910984,434.4516134,413.1865193,398.9800043,423.1067832,0.357750659,0.387663025,0.400701402,0.388362391,0.290529997,0.357674851,0.341373913,0.345653864,0.321677636
50,1524,5,20,243.9360088,195.0780875,207.1789442,156.3099683,125.7237666,136.0528741,114.6365099,98.77456915,119.6438569,697.8504841,513.1966431,484.6966003,487.2388858,431.0083634,428.6790666,380.9907679,402.1223712,377.08155,0.349553399,0.380123467,0.427440473,0.320807663,0.291696815,0.317376995,0.300890519,0.245633111,0.317289077
46,1531,5,20,58.04039773,58.41750764,80.35664368,54.74825385,43.96461651,48.35533031,20.411969,32.40269052,30.65634647,66.50383344,55.34729893,33.95541621,31.03591896,23.10740629,17.37847102,21.59117409,15.59562879,8.83353657,0.872737626,1.055471699,2.366533904,1.764028767,1.902620136,2.782484733,0.945384856,2.077677723,3.470449942
47,1531,5,20,51.65186348,63.54365348,84.36328422,62.00492429,52.32373211,35.48536044,40.80248143,42.889989,26.52972045,58.48185239,37.55157579,36.20687953,27.01930889,20.77466575,20.63727327,9.196151597,2.951829382,20.51884648,0.883211823,1.692170093,2.330034659,2.294837538,2.518631719,1.719479118,4.436908309,14.52996886,1.292944049
48,1531,5,20,57.61269239,45.81787863,73.04522604,44.60735242,40.09274049,49.72247697,37.44157929,30.79160263,26.18814358,49.63099408,44.32594172,34.46816585,22.06197264,11.69551549,12.44323251,0.67205644,9.337116093,13.77542464,1.160820843,1.033658324,2.119208384,2.021911329,3.428043896,3.995945339,55.71195668,3.297763712,1.901077045
49,1531,5,20,47.8020672,64.58282582,60.67882974,65.08775236,67.50451561,45.66743854,46.39994834,37.40534176,34.90910583,50.76473922,37.64086976,43.57546298,39.22088967,21.27563063,20.1463783,9.061043921,10.09609671,12.87629303,0.941639176,1.715763377,1.392499944,1.65951749,3.172856156,2.266781545,5.120817065,3.704931006,2.711114585
50,1531,5,20,60.00300022,44.63258343,72.28825478,64.35653176,49.62291456,48.69273237,42.88698707,43.76826497,40.14161821,54.56764022,32.30027943,56.94823163,27.47793933,24.92724923,12.10004859,5.122502713,3.869754141,2.242090322,1.099607753,1.381801775,1.269367858,2.342116379,1.990709609,4.024176599,8.372272203,11.31034773,17.90365794
46,1541,5,20,80.6492165,59.27665218,61.71475877,51.78819408,38.28688045,32.2781874,31.90931699,24.8987936,22.88824671,225.4657808,219.356969,206.8860299,125.1683125,70.04960418,33.23327788,51.35460374,33.58453391,48.24199754,0.357700473,0.270229172,0.298303171,0.413748441,0.54656812,0.971261021,0.621352609,0.74137678,0.474446496
47,1541,5,20,84.65750691,49.40431525,70.91227833,70.50693361,34.86152609,36.34783618,37.84583037,25.437729,20.24349337,458.638087,97.56178439,223.3142519,148.6955203,70.08639069,39.12023655,58.24305226,155.0331229,46.24561828,0.184584554,0.506390033,0.317544795,0.474169857,0.497407924,0.929131298,0.64979133,0.164079318,0.437738625
48,1541,5,20,92.22771221,69.19818842,61.71238963,44.62601421,30.67675927,35.54240431,21.15878368,25.96344563,23.59674382,250.0254151,158.6583594,262.7752598,118.5432702,57.36354918,63.86735235,125.2447907,81.33923659,53.94542304,0.368873349,0.436145872,0.234848553,0.376453375,0.534777916,0.556503487,0.168939431,0.319199524,0.43741883
49,1541,5,20,81.3180273,58.43367894,66.61030884,54.298577,43.54294507,31.73754171,24.67067948,32.33210463,39.80859039,376.5435113,152.4273613,271.1053799,140.8983907,60.74269592,80.85256227,68.3455395,179.3854717,25.39006018,0.215959178,0.383354264,0.245698956,0.385374004,0.716842485,0.392536004,0.360969855,0.180238145,1.5678809
50,1541,5,20,98.68862525,71.14961879,67.87665554,36.10814123,42.01342934,47.26012395,30.35714068,38.53085725,30.54374762,194.9988308,261.3667232,256.7107502,202.2271921,44.52205907,55.31032606,38.80977821,23.20949197,55.48886121,0.506098549,0.272221413,0.264409089,0.178552354,0.943654229,0.854453903,0.782203406,1.660133591,0.550448269
46,1621,5,20,125.1013769,95.1341029,91.84806119,76.47931232,60.31340831,51.25866214,53.68753132,55.60944708,32.87936743,732.62409,555.8393052,613.4393861,399.589551,338.7656531,213.2558239,164.1234143,159.8754837,162.8619043,0.170757935,0.171153968,0.149726384,0.191394675,0.178038735,0.240362309,0.327116832,0.347829735,0.20188495
47,1621,5,20,98.92405059,65.40060066,65.7151351,52.5548219,38.03642525,49.10623357,40.85414163,42.91886846,37.46673103,768.5728823,392.414486,533.8965428,276.677362,161.7700257,128.6927826,128.6104142,122.4923043,105.549614,0.128711347,0.166662045,0.123085897,0.189949845,0.235126533,0.381577215,0.317658114,0.350380121,0.354967959
48,1621,5,20,91.13173863,78.66723138,72.86749734,66.85816918,41.16865414,48.78710259,29.2819925,17.68540101,59.82134131,606.7055708,321.179908,515.8715218,244.7620074,230.6851856,187.3374693,168.0866948,86.68892416,80.29576084,0.150207519,0.244931982,0.14125125,0.27315583,0.178462497,0.260423624,0.174207676,0.204009926,0.745012448
49,1621,5,20,92.75649537,79.36328145,72.18410409,64.01209757,41.5921297,82.62673611,38.24946293,31.59953599,50.42878657,732.5926807,380.3585747,532.6699826,385.7122702,325.3253942,238.5725145,197.3450174,127.3252073,183.0188218,0.126614008,0.208653851,0.135513745,0.165958157,0.127847781,0.346338036,0.193820262,0.248179733,0.2755388
50,1621,5,20,106.3638503,70.5689539,76.5624322,54.545462,50.7800833,44.49982441,52.84896342,41.30649081,46.42603607,783.4037217,474.6363477,642.5935803,443.7039505,382.0850773,190.0526889,191.0862965,168.4427754,225.180305,0.135771439,0.148680046,0.119145965,0.122932108,0.132902556,0.234144672,0.276571185,0.24522566,0.20617272
46,1931,5,20,177.2765133,149.7691538,147.9128141,149.153699,134.8302129,118.291365,116.6751157,115.5332073,105.0298851,469.4023252,378.5127472,383.5666914,371.2417055,319.2477635,366.1353878,343.6336668,321.7378681,317.1312625,0.377664327,0.395677966,0.385624762,0.401769782,0.42233722,0.323080939,0.339533425,0.359091107,0.331187421
47,1931,5,20,174.8726278,144.9946249,153.2183767,146.0931392,128.4746252,124.7298801,136.0299859,103.5869274,119.1724915,470.5571613,391.1073933,390.4504522,353.6128777,329.3560454,322.0232902,307.1402633,314.0178142,293.9341163,0.371628874,0.370728417,0.392414392,0.413144284,0.390078236,0.387331861,0.442892066,0.329875958,0.405439467
48,1931,5,20,169.0442109,167.0720425,167.6271537,156.5533039,136.4007018,135.1859509,118.2321113,126.7704419,129.5434907,488.310737,404.9826498,401.9634031,402.4981372,366.5458106,349.3983103,334.1557881,302.3940906,325.9546865,0.346181638,0.412541235,0.417020934,0.388954108,0.372124569,0.386910717,0.353823323,0.419222617,0.397427913
49,1931,5,20,164.4264247,164.0112046,156.3302814,152.6669581,148.0062229,121.4468025,133.0629716,130.2812978,124.5518489,477.8585635,412.5463077,370.6196659,360.0175515,347.8574944,324.4039326,309.8714719,357.052794,292.8908584,0.34409015,0.39755829,0.421807842,0.424054209,0.425479472,0.374369082,0.42941343,0.364879648,0.425250039
50,1931,5,20,150.2888145,148.7284984,145.9592801,135.218291,123.5929511,106.1459004,108.390983,114.5218087,108.6464036,467.3756401,396.5952198,401.4217375,378.0354414,351.1512353,307.1434678,318.8402983,306.2796442,327.9473551,0.321558938,0.375013341,0.36360582,0.35768681,0.351965019,0.345590616,0.339953838,0.373912569,0.331292209
46,2341,5,20,51.07488602,51.07488602,39.78880284,33.81205482,17.92993943,13.83572988,15.92013547,20.14962709,18.88482138,140.4192099,140.4192099,109.7775934,96.9815468,73.76449644,52.38571081,35.35629764,25.47634422,23.21786016,0.363731473,0.363731473,0.362449218,0.348644211,0.243070044,0.264112669,0.450277222,0.790915169,0.813374758
47,2341,5,20,51.38324504,51.38324504,43.78242382,28.70480542,23.23221381,15.113222,25.15483478,22.32838034,18.87731255,165.1035379,165.1035379,150.2763595,114.0757119,79.52045235,59.14230581,42.92678515,31.51296141,37.22107065,0.311218316,0.311218316,0.29134605,0.251629422,0.292153944,0.255539952,0.585993912,0.708545923,0.507167371
48,2341,5,20,53.77913683,53.77913683,37.44570209,28.84101779,22.14006322,25.95054153,16.52679566,18.37039339,16.05840937,163.3663706,163.3663706,124.4306261,89.01779126,63.54189568,48.34628758,38.53184953,41.36194196,31.03094609,0.329193436,0.329193436,0.300936379,0.323991613,0.348432526,0.536763893,0.428912597,0.444137594,0.517496609
