,expected,cellID,pulse_index,freq,sample_size,gamma,slope,r2_sdn,r2_lin
0,0,1000.0,1000.0,1000.0,2619,7.74277578125,0.59706796875,0.15984764027149345,0.07089327209208962
56,0,5611.0,1000.0,1000.0,234,5.6702101562500005,0.68379375,0.11184704339595464,-0.06022291178960004
57,0,5611.0,0.0,1000.0,26,13.810502734375,0.86747578125,0.1570824085200173,0.0551301982100183
58,0,5611.0,0.0,20.0,8,6.6953566406250005,0.65751484375,0.7231328534574722,0.7155763997518421
59,0,5611.0,0.0,50.0,6,61.96600859374999,1.0594703125,-0.9903744597575939,-0.9777996528826465
63,0,5611.0,1.0,1000.0,26,11.1668921875,0.822065625,0.3564303366067697,0.2565063597548023
64,0,5611.0,1.0,20.0,8,6.70937265625,0.6532203125,0.6535473773516572,0.6766706552784952
67,0,5611.0,1.0,30.0,5,16.09639140625,0.83925546875,0.9489522462595391,0.970469167692349
69,0,5611.0,2.0,1000.0,26,15.782082421875,0.904196875,-0.37760091369777715,-0.5433168799016845
70,0,5611.0,2.0,20.0,8,12.02773203125,0.779196875,0.5851318600265031,0.5537375637155482
73,0,5611.0,2.0,30.0,5,8.05429921875,0.763227734375,0.4189930361315348,0.07523714741683518
75,0,5611.0,3.0,1000.0,26,16.5789015625,0.869673046875,0.5225717069558571,0.473338535046228
76,0,5611.0,3.0,20.0,8,14.673872265625,0.80106953125,0.6627487052569071,0.6645771338522661
77,0,5611.0,3.0,50.0,6,26.22011484375,0.98496328125,-0.7664523062447333,-0.8404246926057828
78,0,5611.0,3.0,40.0,7,22.03359140625,1.024369921875,-2.8250917240737,-2.9801515182626384
79,0,5611.0,3.0,30.0,5,19.9714796875,0.876753125,0.9304397975976044,0.9260768112385428
81,0,5611.0,4.0,1000.0,26,4.5077683593749995,0.62626484375,0.20525535553584495,-0.0031342392138280495
82,0,5611.0,4.0,20.0,8,4.3471238281249995,0.5534109375,0.5215786503429283,0.5846508298049611
83,0,5611.0,4.0,50.0,6,6.619773046875,0.8250953125,-4.767641831176669,-5.770961195043818
84,0,5611.0,4.0,40.0,7,7.4863722656250005,0.859575,-1.3076281890349684,-2.0001295049678265
85,0,5611.0,4.0,30.0,5,3.3428175781249996,0.55312265625,0.7944082597263965,0.6183856042360988
87,0,5611.0,5.0,1000.0,26,3.6364304687500004,0.5768484375,0.08804507658675276,-0.1992692260200708
88,0,5611.0,5.0,20.0,8,3.8566453125000004,0.528764453125,0.6855363500532919,0.821946834161812
89,0,5611.0,5.0,50.0,6,3.4993117187499996,0.689553125,-4.804838661546192,-6.304350083382898
90,0,5611.0,5.0,40.0,7,6.953424999999999,0.836769921875,-0.8261473812287305,-1.3770327244465537
91,0,5611.0,5.0,30.0,5,2.444480078125,0.47979218749999997,0.2489129783568097,-0.8257648296010327
93,0,5611.0,6.0,1000.0,26,2.9929640624999996,0.53261484375,-0.39629593553284725,-1.194780177230585
94,0,5611.0,6.0,20.0,8,2.7604421874999994,0.452925,0.6582517000371368,0.546524959045575
95,0,5611.0,6.0,50.0,6,2.7040015625,0.62138203125,-11.255546815526571,-16.94988687921152
96,0,5611.0,6.0,40.0,7,5.606789453125,0.82393046875,-2.7614220018443234,-3.5654462094983908
97,0,5611.0,6.0,30.0,5,2.6924269531249996,0.502785546875,0.6447252321984629,-0.10467820879949863
99,0,5611.0,7.0,1000.0,26,2.557961328125,0.492143359375,-0.12131324329462334,-0.6522683689920139
100,0,5611.0,7.0,20.0,8,2.0208078125000006,0.38604218749999997,0.4017666973277463,0.576213463463249
101,0,5611.0,7.0,50.0,6,2.0813546875000006,0.5501046875,-4.038284674263068,-6.684316498898625
102,0,5611.0,7.0,40.0,7,6.1688453125,0.81962421875,-2.1500713066299304,-3.256793689855324
103,0,5611.0,7.0,30.0,5,2.830422265625,0.5182546875,-0.27847373574793144,-2.333765346157125
105,0,5611.0,8.0,1000.0,26,2.2667015625,0.46132578125,0.04015791604842056,-0.5289388173047167
106,0,5611.0,8.0,20.0,8,1.709028515625,0.3514625,0.48296478915868046,0.7027954238988752
107,0,5611.0,8.0,50.0,6,2.1051687499999994,0.55352265625,-2.836965944965882,-4.966652395785556
108,0,5611.0,8.0,40.0,7,4.6499464843750005,0.74375234375,-0.4123962301023809,-1.1342931932878226
